name_csc,name_lit,ra_csc,dec_csc,err_ellipse_r0,err_ellipse_r1,err_ellipse_ang,gal_b,gal_l,extent_flag,conf_flag,pileup_flag,var_flag,streak_src_flag,sat_src_flag,man_add_flag,man_inc_flag,man_reg_flag,man_match_flag,man_pos_flag,var_inter_hard_flag,significance,flux_aper90_avg_b,flux_aper90_avg_h,flux_aper90_avg_m,flux_aper90_avg_s,lum_aper90_avg_b,lum_aper90_avg_h,lum_aper90_avg_m,lum_aper90_avg_s,hard_hm,hard_hs,hard_ms,var_intra_prob_b,var_inter_prob_b,d2d_csc,RAJ2000,DEJ2000,PU,Class,Subclass,Reference,Cluster,HST_Counterpart,RAJ2000_HST,DEJ2000_HST,APP_DISTANCE_MOD,HELIO_DISTANCE,REDDENING,F140LP,F165LP,F220W,F225W,F250W,F25QTZ,F25CN270,F275W,F300X,F300W,F330W,F336W,F342W,F390W,F435W,F438W,F439W,F555W,F606W,F625W,F656N,F658N,F814W,F140LP_abs,F165LP_abs,F220W_abs,F225W_abs,F250W_abs,F25QTZ_abs,F25CN270_abs,F275W_abs,F300X_abs,F300W_abs,F330W_abs,F336W_abs,F342W_abs,F390W_abs,F435W_abs,F438W_abs,F439W_abs,F555W_abs,F606W_abs,F625W_abs,F656N_abs,F658N_abs,F814W_abs,F555W-F814W,F555W-F625W,F435W-F555W,F336W-F555W,F336W-F625W,F336W-F658N,F625W-F658N,F140LP_Instrument,F165LP_Instrument,F220W_Instrument,F225W_Instrument,F250W_Instrument,F25QTZ_Instrument,F25CN270_Instrument,F275W_Instrument,F300X_Instrument,F300W_Instrument,F330W_Instrument,F336W_Instrument,F342W_Instrument,F390W_Instrument,F435W_Instrument,F438W_Instrument,F439W_Instrument,F555W_Instrument,F606W_Instrument,F625W_Instrument,F656N_Instrument,F658N_Instrument,F814W_Instrument,F140LP_GO,F165LP_GO,F220W_GO,F225W_GO,F250W_GO,F25QTZ_GO,F25CN270_GO,F275W_GO,F300X_GO,F300W_GO,F330W_GO,F336W_GO,F342W_GO,F390W_GO,F435W_GO,F438W_GO,F439W_GO,F555W_GO,F606W_GO,F625W_GO,F656N_GO,F658N_GO,F814W_GO,ATNF,PSRJ,pulsar_name_zhao2022,gc_name_zhao2022,zhao2022_table,P0,P1,Reference_atnf,CXOU_maveric,errc_maveric,RAJ2000_maveric,DEJ2000_maveric,d2d_csc_maveric,maveric_flag,idx_hugs,d2d_hugs,Star_ID,RAJ2000_HUGS,DEJ2000_HUGS,F275W_HUGS,F336W_HUGS,F438W_HUGS,F606W_HUGS,F814W_HUGS,F275W_HUGS_abs,F336W_HUGS_abs,F438W_HUGS_abs,F606W_HUGS_abs,F814W_HUGS_abs,F275W-F336W_HUGS,F275W-F438W_HUGS,F275W-F606W_HUGS,F275W-F814W_HUGS,F336W-F438W_HUGS,F336W-F606W_HUGS,F336W-F814W_HUGS,F438W-F606W_HUGS,F438W-F814W_HUGS,F606W-F814W_HUGS,F275W_delta,F336W_delta,F438W_delta,F606W_delta,F814W_delta,Star_ID_old,HUGS_Counterpart
2CXO J002422.3-720117,J0024-7204X,6.093301618477085,-72.02147767362824,0.9951019866554413,0.8498789690107977,68.72619402661167,-44.951667,305.87739,0,0,0,1,0,0,0,0,0,0,0,1,5.562499999999966,1.0521043878753e-15,3.733490424893e-16,1.7096817108183002e-16,4.5045598197539e-16,2.549679351700668e+30,9.047774684549732e+29,4.143258222558002e+29,1.0916391275699414e+30,-0.18238600874453,-0.63335415365397,-0.48844472204872,0.99504903022055,0.909988269429364,0.1257193714470391,6.0932735,-72.0215115,1.0,MSP,,ATNF fre08,NGC 104,,,,13.37,4.5,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,J0024-7204X,J0024-7201X,47 Tuc,10,0.0047715229106935,1.8361e-20,ATNF fre08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2CXO J174852.9-202138,J1748-2021B,267.2205432931908,-20.360623159287435,0.7148456655569282,0.713125602490725,138.75665916782427,3.800277,7.72874,0,0,0,0,0,0,0,0,0,0,0,1,11.884369235249023,2.5740341489582998e-14,2.5544286324352e-14,3.1910354353432e-15,6.3394159723986e-16,2.2256345942163963e+32,2.208682715070212e+32,2.7591237898473043e+31,5.481366088716515e+30,0.4422236102436,0.82073703935041,0.58463460337289,0.67066596206553,1.0,0.6789631834695317,267.2206371,-20.36079,1.0,MSP,,ATNF frb+08,NGC 6440,,,,17.95,8.5,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,J1748-2021B,J1748-2021B,NGC 6440,A1,0.016760127219257,-3.2913000000000004e-19,ATNF frb+08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2CXO J182433.2-245209,J1824-2452M,276.1387292820202,-24.8692751073172,0.7435543689024686,0.7318239760647436,121.01223253157576,-5.581778,7.799403,0,0,0,0,0,0,0,0,0,0,0,1,3.028571428571,6.609478747834501e-16,3.3915553525862e-16,1.5433879600051002e-16,2.6481704684189e-16,2.39273331754988e+30,1.227795382972738e+30,5.587302622040316e+29,9.586785814862622e+29,0.11118051217989,-0.036227357901312,-0.1474078700812,0.45051198569892,0.7947181323421499,2.0305401085871924,276.138265,-24.8689,3.0,Spider,UL,ATNF dpr+22,NGC 6626,,,,14.95,5.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,J1824-2452M,J1824-2452M,M28 (NGC 6626),A1,0.0047842842982785,1.22818e-19,ATNF dpr+22,182433.28-245209.6,0.0810000002384185,276.138673,-24.869306,0.2148504630892265,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2CXO J191142.6-595826,J1910-5959A,287.9281840586658,-59.974118138223176,1.204634160419508,0.9023007918061186,118.8083785889966,-25.730367,336.525291,0,0,0,0,0,0,0,0,0,0,0,1,2.558139534883662,0.0,0.0,2.7424622363205e-16,3.9734192569061e-16,0.0,0.0,5.251245787862571e+29,7.608272908886003e+29,-0.26608369768894,-0.80199875078076,-0.5896314803248,,0.924447369268226,0.1007038152006726,287.92814842,-59.97413969,1.0,MSP,,ATNF dlm+01,NGC 6752,,,,13.13,4.0,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,J1910-5959A,J1911-5958A,NGC 6752,10,0.0032661865707905,2.94703e-21,ATNF dlm+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2CXO J191105.5-600059,J1910-5959C,287.773065098643,-60.01660085562779,0.7494515555443165,0.7281681255169229,100.76478164215833,-25.661633,336.463527,0,0,0,0,0,0,0,0,0,0,0,0,5.600000000000083,1.4753698347563001e-15,6.886259257504401e-16,3.2824564293349e-16,5.390187680775701e-16,2.825026914754605e+30,1.3185756741218286e+30,6.285222552968964e+29,1.0321090288717544e+30,-0.33229231730169,-0.73204247345409,-0.51717676452217,0.57305028897047,0.8510567690455,0.1598345578612786,287.7731467,-60.0165833,1.0,MSP,,ATNF dpf+02,NGC 6752,,,,13.13,4.0,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,J1910-5959C,J1911-6000C,NGC 6752,10,0.0052773269323093,2.16e-21,ATNF dpf+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2CXO J174805.6-244642,J1748-2446an,267.0235624971107,-24.778431539127894,0.7109364525067623,0.7109298084743458,0.0,1.68453,3.841577,0,1,0,0,0,0,0,0,1,0,0,1,9.883209553427562,1.1877137302162e-15,1.0320955866053e-15,6.419944944011e-16,0.0,6.767241355428983e+30,5.880575225108951e+30,3.657894644089033e+30,0.0,-0.1736414740787,0.420986883198,0.55215490318551,0.45307503620426,0.9999999999999688,0.3268770581741911,267.0235791,-24.778342,1.0,MSP,,ATNF rgf+21,TERZAN 5,,,,21.27,6.9,2.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,J1748-2446an,J1748-2446an,Terzan 5,A1,0.0048023377671501,1.5575000000000002e-19,ATNF rgf+21,174805.66-244642.0,0.0260000005364418,267.023614,-24.778361,0.3046712186686007,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2CXO J174804.5-244634,J1748-2446C,267.01916010650166,-24.77627319586592,0.7140192293449056,0.7132381948982873,69.82127055041161,1.689067,3.841363,0,0,0,0,0,0,0,0,0,0,0,0,6.357142857142609,2.4676998731448e-15,2.3224034403101002e-15,1.1006806783299e-16,0.0,1.4060223612378824e+31,1.3232367535564495e+31,6.271352781414642e+29,0.0,0.79825109306683,0.99937539038101,0.99937539038101,0.80388797490599,0.10689962365408,1.7253270668036302,267.01892,-24.7767,3.0,MSP,,ATNF lmbm00,TERZAN 5,,,,21.27,6.9,2.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,J1748-2446C,J1748-2446C,Terzan 5,A1,0.0084360953044,-6.06e-19,ATNF lmbm00,174804.61-244634.2,0.0350000001490116,267.019204,-24.776187,0.3418673802085137,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2CXO J002405.3-720421,33,6.022423715750563,-72.07269162647064,0.7137876557357568,0.7130461147930062,74.48948185172316,-44.897771,305.897134,0,0,0,1,0,0,0,0,0,0,0,1,10.678512056123674,4.9737015329922e-15,4.1109341756363e-15,6.410683136502801e-16,3.2451193436519004e-16,1.2053313574522622e+31,9.96247530626476e+30,1.5535707874430195e+30,7.864251760248664e+29,0.42973141786383,0.53841349156777,0.14116177389132,0.96585843884518,0.0549875771600499,0.0201105618641926,6.022420833333333,-72.07268611111111,0.5,CV,,https://ui.adsabs.harvard.edu/abs/2018MNRAS.475.4841R/abstract,NGC 104,main,6.022420833333333,-72.07268611111111,13.37,4.5,0.04,,,,,,,,,22.392,,,20.72,,23.28,23.33,,,21.4,,22.21,,21.24,,,,,,,,,,9.125937431123283,,,7.453937431123283,,10.013937431123283,10.063937431123282,,,8.133937431123282,,8.943937431123285,,7.973937431123282,,,-0.8100000000000023,1.93,-0.6799999999999997,-1.490000000000002,-0.5199999999999996,0.9700000000000024,,,,,,,,,"WFC3,UVIS1,F300X",,,"WFPC2,1,F336W,cont#51367",,"WFC3,UVIS1,F390W","ACS,WFC1,F435W",,,"WFPC2,1,F555W,cont#51364",,"ACS,WFC1,F625W",,"ACS,WFC1,F658N",,,,,,,,,,12950.0,,,8267.0,,12950.0,9281.0,,,8267.0,,9281.0,,9281.0,,,,,,,,,,,,,,,,157187.0,0.032365253472218,R0157231,6.022502,-72.072693,22.379,22.4805,23.4477,22.7144,21.9904,9.112937431123283,9.214437431123285,10.181637431123283,9.448337431123283,8.724337431123285,-0.1014999999999979,-1.0686999999999998,-0.3353999999999999,0.3886000000000003,-0.9672000000000018,-0.233900000000002,0.4900999999999982,0.7332999999999998,1.4573,0.7240000000000002,,-1.7605000000000004,,,,R0157231,yes
2CXO J002417.2-720302,116,6.0718212093151465,-72.05079239132564,0.7405052479119485,0.7242590812515729,70.85323876560699,-44.921693,305.880501,0,0,0,0,0,0,0,0,0,0,0,1,5.062500000000253,5.1262759093444e-16,3.5311038293955e-17,1.3309676023941002e-16,4.3491783265272e-16,1.2423063707177632e+30,8.55730916653867e+28,3.225479004474028e+29,1.0539838350455374e+30,-0.38975640224859,-0.86071205496565,-0.68332292317302,0.54003614120364,0.908273893755104,0.0385622250562138,6.071804166666666,-72.05078305555556,0.5,none,,https://ui.adsabs.harvard.edu/abs/2017MNRAS.472.3706B/abstract,NGC 104,,,,13.37,4.5,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2CXO J002359.3-720448,62,5.997233453401975,-72.0800830116528,0.7214689040936654,0.7168054564858594,35.47090687455034,-44.889301,305.90639,0,1,0,0,0,0,0,0,0,0,0,0,4.914285714285854,6.5861951875451e-16,1.9365279472612e-16,2.0018800506756e-16,3.5140654679525e-16,1.596104537674867e+30,4.692999457111263e+29,4.851374339476691e+29,8.516018246304262e+29,-0.33728919425359,-0.66708307307933,-0.40974391005621,0.59036429905398,0.11626105483797,0.0521676235700768,5.99725,-72.08006944444445,0.5,CV,AM CVn?,https://ui.adsabs.harvard.edu/abs/2018MNRAS.475.4841R/abstract,NGC 104,main,5.99725,-72.08006944444445,13.37,4.5,0.04,,,,,,,,,19.651,,,,,19.71,19.54,,,,,19.16,,19.04,,,,,,,,,,6.384937431123284,,,,,6.443937431123285,6.273937431123283,,,,,5.893937431123284,,5.773937431123283,,,,,,,,0.120000000000001,,,,,,,,,"WFC3,UVIS1,F300X",,,,,"WFC3,UVIS1,F390W","ACS,WFC1,F435W",,,,,"ACS,WFC1,F625W",,"ACS,WFC1,F658N",,,,,,,,,,12950.0,,,,,12950.0,9281.0,,,,,9281.0,,9281.0,,,,,,,,,,,,,,,,124647.0,0.0341287882513652,R0124683,5.997291,-72.080079,20.6634,20.2528,20.3637,19.969,19.6431,7.397337431123283,6.986737431123284,7.097637431123285,6.702937431123285,6.377037431123284,0.4105999999999987,0.2996999999999978,0.6943999999999981,1.0202999999999989,-0.1109000000000008,0.2837999999999994,0.6097000000000001,0.3947000000000003,0.720600000000001,0.3259000000000007,,,,,,R0124683,maybe
2CXO J002402.8-720449,51,6.01175883033352,-72.08032320947372,0.7102118871295687,0.710098814874476,68.01624656494226,-44.889734,305.900103,0,1,0,1,0,0,0,0,0,0,0,1,33.81858512748329,2.5949135995836998e-14,1.4798895668704e-14,4.8218616549075e-15,5.970350482488401e-15,6.288537240745729e+31,3.58637784893824e+31,1.168534343165578e+31,1.4468601712001436e+31,0.10243597751405,-0.1211742660837,-0.2211118051218,1.0,1.0,0.0737788253228455,6.011725,-72.08030555555555,0.5,CV,,https://ui.adsabs.harvard.edu/abs/2018MNRAS.475.4841R/abstract,NGC 104,main,6.011725,-72.08030555555555,13.37,4.5,0.04,,,,,,,,,23.81,22.12,,,,23.37,23.13,,,,,21.41,,20.65,,,,,,,,,,10.543937431123284,8.853937431123285,,,,10.103937431123285,9.863937431123285,,,,,8.143937431123284,,7.383937431123282,,,,,,,,0.7600000000000016,,,,,,,,,"WFC3,UVIS1,F300X","WFPC2,1,F300W,cont#51479",,,,"WFC3,UVIS1,F390W","ACS,WFC1,F435W",,,,,"ACS,WFC1,F625W",,"ACS,WFC1,F658N",,,,,,,,,,12950.0,7503.0,,,,12950.0,9281.0,,,,,9281.0,,9281.0,,,,,,,,,,,,,,,,126273.0,0.0094121296361541,R0126309,6.0118,-72.080321,21.8274,22.6051,23.5714,23.1698,21.9073,8.561337431123285,9.339037431123284,10.305337431123284,9.903737431123282,8.641237431123283,-0.7776999999999994,-1.7439999999999998,-1.3423999999999978,-0.0798999999999985,-0.9663000000000004,-0.5646999999999984,0.6978000000000009,0.4016000000000019,1.6641000000000012,1.2624999999999993,,,,,,R0126309,yes
2CXO J002413.8-720302,117,6.057517626039555,-72.05062113276234,0.7130858597494275,0.710863364734793,83.50884240635884,-44.921207,305.886693,0,0,0,0,0,0,0,0,0,0,0,0,15.640021619212572,7.5357744229471e-15,4.0592606037671e-15,1.6407665301305001e-15,1.9363646857591e-15,1.826226434057942e+31,9.837249101772268e+30,3.976248546290755e+30,4.692603807700777e+30,-0.028732042473454,-0.26358525921299,-0.23610243597751,0.47609229486063,0.8785156276082,0.0748964248993763,6.057475,-72.05060499999999,0.5,none,,https://ui.adsabs.harvard.edu/abs/2017MNRAS.472.3706B/abstract,NGC 104,,,,13.37,4.5,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2CXO J002331.4-720515,350,5.881216899917376,-72.08763534683978,1.173272956441295,1.1732689305487325,0.0,-44.876435,305.954567,0,0,0,0,0,0,0,0,0,0,0,0,2.7826086956522063,1.1074390807239002e-16,0.0,4.9562468220683e-17,1.2335878021028e-16,2.683777950104665e+29,0.0,1.2011013669165847e+29,2.989487909924112e+29,0.49094316052467,0.056214865708932,-0.42348532167395,,,0.0756263895504736,5.88115,-72.08763111111111,0.5,none,,https://ui.adsabs.harvard.edu/abs/2017MNRAS.472.3706B/abstract,NGC 104,,,,13.37,4.5,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2CXO J002406.0-720346,168,6.0250969192882735,-72.06285121325146,0.71915409674288,0.714654017497391,48.55471865059758,-44.907624,305.898063,0,0,0,1,0,0,0,0,0,0,0,1,10.076455046200175,1.772078528641e-15,3.0186642060409e-16,5.8032348612025e-16,8.221559359436e-16,4.294471238916245e+30,7.315458318165106e+29,1.406361219399385e+30,1.992420179889971e+30,-0.53841349156777,-0.75202998126171,-0.34853216739538,0.85460469355987,0.81619841926402,0.0756382286107029,6.025041666666667,-72.06283888888889,0.5,AB?,,https://ui.adsabs.harvard.edu/abs/2017MNRAS.472.3706B/abstract,NGC 104,,,,13.37,4.5,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2CXO J002410.7-720425,8,6.044858544743192,-72.07382265490793,0.7103648385916427,0.7102717416242266,20.130485863479123,-44.897684,305.887257,0,0,0,1,0,0,0,0,0,0,0,1,23.430286596658576,2.7163333126346e-14,2.5291411795051e-14,2.4506686328332e-15,1.0959259767725e-15,6.582786878731263e+31,6.129143759149807e+31,5.938972675148565e+30,2.655876989176112e+30,0.50968144909432,0.72579637726421,0.3422860712055,0.93372348310388,0.9999213492046573,0.0793012496554408,6.044804166666666,-72.07380833333333,0.5,CV,,https://ui.adsabs.harvard.edu/abs/2018MNRAS.475.4841R/abstract,NGC 104,main,6.044804166666666,-72.07380833333333,13.37,4.5,0.04,,,,,,,,,22.048,,,21.05,,23.22,22.75,,,21.72,,21.92,,20.75,20.11,,,,,,,,,8.781937431123282,,,7.783937431123281,,9.953937431123284,9.483937431123284,,,8.453937431123283,,8.653937431123286,,7.483937431123284,6.843937431123283,1.6099999999999994,-0.2000000000000028,1.0300000000000011,-0.6700000000000017,-0.8700000000000045,0.2999999999999971,1.1700000000000017,,,,,,,,,"WFC3,UVIS1,F300X",,,"WFPC2,1,F336W,cont#51367",,"WFC3,UVIS1,F390W","ACS,WFC1,F435W",,,"WFPC2,1,F555W,cont#51364",,"ACS,WFC1,F625W",,"ACS,WFC1,F658N","WFPC2,1,F814W,cont#51364",,,,,,,,,12950.0,,,8267.0,,12950.0,9281.0,,,8267.0,,9281.0,,9281.0,8267.0,,,,,,,,,,,,,,,151318.0,0.0077491902564852,R0151359,6.044868,-72.073825,20.7582,21.4025,22.5164,21.8553,20.943,7.492137431123282,8.136437431123284,9.250337431123285,8.589237431123284,7.676937431123285,-0.6443000000000012,-1.7582000000000022,-1.097100000000001,-0.1848000000000027,-1.113900000000001,-0.4527999999999998,0.4594999999999984,0.6611000000000011,1.5733999999999997,0.9122999999999984,,-0.3524999999999991,,,-0.833000000000002,R0151359,yes
2CXO J002403.7-720522,78,6.015396900206781,-72.08959393752352,0.738288520177761,0.7276489984714051,15.78855304139097,-44.880735,305.896582,0,0,0,0,0,0,0,0,0,0,0,0,4.937500000000048,4.4303961998432e-16,1.0874047941271e-16,7.9475315311293e-17,3.3587728826603003e-16,1.073666248403877e+30,2.6352266775783035e+29,1.926012026509303e+29,8.139680781358087e+29,-0.99937539038101,-0.99937539038101,-0.737039350406,0.47357985945121,0.4375872979735999,0.0841713726907837,6.0153333333333325,-72.0895811111111,0.5,none,,https://ui.adsabs.harvard.edu/abs/2017MNRAS.472.3706B/abstract,NGC 104,,,,13.37,4.5,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2CXO J002411.5-720224,118,6.048027562391383,-72.0401234773256,0.727584081547377,0.7191278239367103,78.98132745887341,-44.931152,305.892988,0,0,0,0,0,0,0,0,0,0,0,1,12.157473587653648,4.7682336825034e-15,2.5749114043886e-15,1.0411457604514e-15,1.2545398472856001e-15,1.1555380915114584e+31,6.2400637388144e+30,2.523122114236688e+30,3.040263286962855e+30,-0.368519675203,-0.45846346033729,-0.10118675827608,0.68151461789223,0.987687511203742,0.0846031211889408,6.048004166666666,-72.04010111111111,0.5,none,,https://ui.adsabs.harvard.edu/abs/2017MNRAS.472.3706B/abstract,NGC 104,,,,13.37,4.5,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2CXO J002359.3-720459,316,5.997476668320417,-72.08305695727339,0.8087625773777017,0.7533866268321335,44.85016055940545,-44.886372,305.905656,0,0,0,0,0,0,0,0,0,0,0,1,2.0000000000000164,1.2563453998432e-16,8.4162044494545e-17,5.9693862209114e-17,8.8526561457477e-17,3.044638879468291e+29,2.0395906482056027e+29,1.4466264911717311e+29,2.1453607496211856e+29,0.40974391005621,-0.40849469081824,-0.66708307307933,,,0.0854926921304104,5.997458333333333,-72.08303388888889,0.5,none,,https://ui.adsabs.harvard.edu/abs/2017MNRAS.472.3706B/abstract,NGC 104,,,,13.37,4.5,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2CXO J002419.3-720334,114,6.080680459918426,-72.05967080217856,0.7127479569753647,0.7112220871856305,87.47360469786008,-44.913319,305.874828,0,0,0,1,0,0,0,0,0,0,0,1,19.76753630718776,1.0104408437694e-14,6.1779781571449e-15,2.1380883359123e-15,2.7509845078021e-15,2.4487115396188167e+31,1.4971768508960037e+31,5.181462737929157e+30,6.666760900556935e+30,0.034978138663335,-0.35227982510931,-0.38226108682074,0.71855044228408,1.0,0.0859469264570706,6.080683333333333,-72.05964694444444,0.5,none,,https://ui.adsabs.harvard.edu/abs/2017MNRAS.472.3706B/abstract,NGC 104,,,,13.37,4.5,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2CXO J002403.7-720423,45,6.015687915442527,-72.07307154650873,0.7104778685091735,0.7103581892128791,15.888598906538022,-44.897085,305.899948,0,0,0,1,0,0,0,0,0,0,0,1,33.130447812071225,2.9886140855902e-14,1.7439196997717e-14,6.3015553294925e-15,7.0630121880869e-15,7.242634582695285e+31,4.226230876682686e+31,1.5271246553446225e+31,1.711656803669728e+31,0.064959400374766,-0.20487195502811,-0.26608369768894,1.0,1.0,0.0877145092949251,6.0156833333333335,-72.07304722222221,0.5,CV,,https://ui.adsabs.harvard.edu/abs/2018MNRAS.475.4841R/abstract,NGC 104,main,6.0156833333333335,-72.07304722222221,13.37,4.5,0.04,,,,,,,,,20.83,,,20.93,,22.06,22.06,,,21.91,,21.39,,20.29,,,,,,,,,,7.563937431123282,,,7.6639374311232835,,8.793937431123283,8.793937431123283,,,8.643937431123284,,8.123937431123284,,7.023937431123283,,,0.5199999999999996,0.1499999999999985,-0.9800000000000004,-0.4600000000000008,0.6400000000000006,1.1000000000000014,,,,,,,,,"WFC3,UVIS1,F300X",,,"WFPC2,1,F336W,cont#51367",,"WFC3,UVIS1,F390W","ACS,WFC1,F435W",,,"WFPC2,1,F555W,cont#51364",,"ACS,WFC1,F625W",,"ACS,WFC1,F658N",,,,,,,,,,12950.0,,,8267.0,,12950.0,9281.0,,,8267.0,,9281.0,,9281.0,,,,,,,,,,,,,,,,152102.0,0.003514660466585,R0152145,6.015747,-72.073062,20.0347,20.8157,22.0239,20.6539,19.8238,6.768637431123285,7.5496374311232834,8.757837431123285,7.387837431123284,6.557737431123282,-0.7809999999999988,-1.9892000000000003,-0.6191999999999993,0.2109000000000023,-1.2082000000000015,0.1617999999999995,0.9919000000000012,1.370000000000001,2.2001000000000026,0.8301000000000016,,0.1143,,,,R0152145,yes
2CXO J002359.4-720438,85,5.997512392766396,-72.07739423055185,0.7211414793905704,0.7192526112187676,62.54780567760375,-44.891973,305.90684,0,0,0,0,0,0,0,0,0,0,0,1,5.419354838709782,5.013964046240701e-16,0.0,8.834369450332098e-17,4.1807362775396006e-16,1.2150886115669976e+30,0.0,2.1409291352063696e+29,1.0131634355479984e+30,-0.32854465958776,-0.89194253591505,-0.76452217364147,0.50466275770639,0.24441075563934,0.088660729365743,5.997445833333333,-72.07738055555555,0.5,MSP?,,https://ui.adsabs.harvard.edu/abs/2018MNRAS.475.4841R/abstract,NGC 104,main,5.997445833333333,-72.07738055555555,13.37,4.5,0.04,,,,,,,,,22.545,21.29,,,,23.17,23.44,,,,,23.4,,23.7,,,,,,,,,,9.278937431123286,8.023937431123283,,,,9.903937431123286,10.173937431123283,,,,,10.133937431123282,,10.433937431123285,,,,,,,,-0.3000000000000007,,,,,,,,,"WFC3,UVIS1,F300X","WFPC2,1,F300W,cont#51479",,,,"WFC3,UVIS1,F390W","ACS,WFC1,F435W",,,,,"ACS,WFC1,F625W",,"ACS,WFC1,F658N",,,,,,,,,,12950.0,7503.0,,,,12950.0,9281.0,,,,,9281.0,,9281.0,,,,,,,,,,,,,,,,135453.0,0.0198695691163453,R0135491,5.997524,-72.077391,22.4824,22.6367,23.3761,22.7091,22.6415,9.216337431123282,9.370637431123283,10.110037431123285,9.443037431123283,9.375437431123284,-0.1543000000000027,-0.8937000000000026,-0.226700000000001,-0.1591000000000022,-0.7393999999999998,-0.0723999999999982,-0.0047999999999994,0.6670000000000016,0.7346000000000004,0.0675999999999987,,,,,,R0135491,yes
